"SEMANA_RELATIVA","casos_sint","casos_hosp","casos_def","FLAG_SINT","FLAG_HOSP","FLAG_DEF","N_REPORTES_SEMANA","PROM_COMORB","PROP_COMORB","PROP_GRAVE","PROP_HOSP","PROP_DEF","EDAD_MEDIA","PROP_HOMBRES"
1,134,134,5,"observado","observado","observado",134,0.358208955223881,0.276119402985075,0.186567164179104,1,0.0373134328358209,32.7761194029851,0
2,145,145,8,"observado","observado","observado",145,0.517241379310345,0.317241379310345,0.262068965517241,1,0.0551724137931034,31.5655172413793,0
3,162,162,9,"observado","observado","observado",162,0.555555555555556,0.327160493827161,0.302469135802469,1,0.0555555555555556,35.8765432098765,0
4,125,125,8,"observado","observado","observado",125,0.432,0.248,0.28,1,0.064,37.256,0
5,102,102,3,"observado","observado","observado",102,0.558823529411765,0.372549019607843,0.205882352941176,1,0.0294117647058824,37.578431372549,0
6,96,96,2,"observado","observado","observado",96,0.520833333333333,0.3125,0.25,1,0.0208333333333333,33.5,0
7,64,64,4,"observado","observado","observado",64,0.59375,0.328125,0.328125,1,0.0625,32.9375,0
8,62,62,0,"observado","observado","sin_reporte",62,0.32258064516129,0.258064516129032,0.274193548387097,1,0,32.3870967741936,0
9,84,84,2,"observado","observado","observado",84,0.476190476190476,0.30952380952381,0.25,1,0.0238095238095238,34.5476190476191,0
10,106,106,4,"observado","observado","observado",106,0.556603773584906,0.320754716981132,0.245283018867925,1,0.0377358490566038,34.4245283018868,0
11,108,108,2,"observado","observado","observado",108,0.351851851851852,0.212962962962963,0.333333333333333,1,0.0185185185185185,32.4166666666667,0
12,137,137,3,"observado","observado","observado",137,0.605839416058394,0.35036496350365,0.240875912408759,1,0.0218978102189781,34.8613138686131,0
13,109,109,1,"observado","observado","observado",109,0.403669724770642,0.293577981651376,0.119266055045872,1,0.00917431192660551,35.6146788990826,0
14,0,0,0,"sin_reporte","sin_reporte","sin_reporte",,,,,,,,
15,0,0,0,"sin_reporte","sin_reporte","sin_reporte",,,,,,,,
16,0,0,0,"sin_reporte","sin_reporte","sin_reporte",,,,,,,,
17,0,0,0,"sin_reporte","sin_reporte","sin_reporte",,,,,,,,
18,365,365,29,"observado","observado","observado",365,0.865753424657534,0.452054794520548,0.36986301369863,1,0.0794520547945206,43.5315068493151,0
19,744,744,54,"observado","observado","observado",744,0.764784946236559,0.432795698924731,0.295698924731183,1,0.0725806451612903,41.9301075268817,0
20,719,719,39,"observado","observado","observado",719,0.700973574408901,0.388038942976356,0.287899860917942,1,0.0542420027816412,38.7802503477051,0
21,688,688,39,"observado","observado","observado",688,0.646802325581395,0.372093023255814,0.257267441860465,1,0.0566860465116279,39.3561046511628,0
22,690,690,33,"observado","observado","observado",690,0.626086956521739,0.343478260869565,0.259420289855072,1,0.0478260869565217,37.8507246376812,0
23,697,697,40,"observado","observado","observado",697,0.616929698708752,0.36441893830703,0.235294117647059,1,0.0573888091822095,39.2682926829268,0
24,737,737,41,"observado","observado","observado",737,0.622795115332429,0.344640434192673,0.230664857530529,1,0.0556309362279511,38.651289009498,0
25,671,671,38,"observado","observado","observado",671,0.609538002980626,0.338301043219076,0.23397913561848,1,0.0566318926974665,38.1758569299553,0
